"ccaa.shortname.en","TD30_total_area","TD30_porcentaje","TD17_total_area","TD17_porcentaje","TD10_total_area","TD10_porcentaje","TD5_total_area","TD5_porcentaje","FD30_total_area","FD30_porcentaje","FD17_total_area","FD17_porcentaje","FD10_total_area","FD10_porcentaje","FD5_total_area","FD5_porcentaje","PD30_total_area","PD30_porcentaje","PD17_total_area","PD17_porcentaje","PD10_total_area","PD10_porcentaje","PD5_total_area","PD5_porcentaje"
"Andalusia",12565035079.4894,10.9272114842645,6073582574.69454,10.3916053927602,4335791465.36417,10.0828161727691,2062812122.81084,10.3460214527807,14809586135.7712,12.9960283644319,6451817946.08262,9.99738468344052,3910485660.49286,10.3292270829813,2051359643.13651,10.9439663372163,22486303732.1636,19.8295783897517,14518319302.0057,22.6634326572569,8881086250.485,23.6640277903133,4549460707.64735,24.2933823470841
"Aragon",16865761591.5528,14.6673481282133,10930280918.4578,18.7011808499769,8558666484.66411,19.9030468919611,4221825760.24187,21.1745410075672,5283727044.04758,4.63669044528518,2951189376.84338,4.5730018609562,1497566787.29553,3.9556998186145,526190152.127416,2.80721487873881,5313100790.96699,4.68536536204628,2099116739.15064,3.27676984283497,605341426.8176,1.61295768814961,105277605.254926,0.562165338134304
"Balearic Islands",352556201.258009,0.30660130647178,83226976.0343795,0.142397321901148,NA,NA,NA,NA,993671619.854026,0.871988213456001,180047032.016111,0.278991046433618,180047032.016111,0.475579465256706,79404552.1313737,0.423621839522393,2780824589.77834,2.45227405303988,1648802080.79558,2.57381823239645,755705603.199614,2.01360935937702,366709995.459429,1.95817190270894
"Basque Country",102549224.975931,0.0891821679581781,46800611.2773914,0.0800735774237951,46800611.277391,0.108834099622345,NA,NA,1213568588.48372,1.06495695784659,174014490.819948,0.269643350100469,102301423.398146,0.27022081780463,82535195.2864338,0.440323763740044,1348403237.91299,1.18909128088247,595815974.119751,0.9300825339828,324102906.548211,0.863585823981763,19766228.1117117,0.10554845242873
"Cantabria",34954087.1079804,0.0303979017688367,NA,NA,NA,NA,NA,NA,642223439.761756,0.563577804465915,239194303.37534,0.370642427439044,NA,NA,NA,NA,1338794174.95009,1.18061751527188,420371486.332226,0.656209625462998,80701224.9955374,0.215031807725371,NA,NA
"Castile-La Mancha",19133420909.6755,16.6394232387586,11317348420.7054,19.3634345847786,9426278334.58613,21.9206648659716,4879006420.36188,24.4706265467047,24245557101.981,21.2764857113537,18058519623.6301,27.9824956314069,12800887558.8518,33.8124943903835,7874251880.81331,42.0089903799712,22161590420.9585,19.5432295022052,14529732049.4203,22.6812482202766,10106715729.5976,26.9297690787469,5709855295.68294,30.489701254345
"Castile and León",32978867570.8134,28.6801475824033,13639811353.2397,23.3370560902741,8543987063.64602,19.8689101248148,2458652895.30048,12.331358400715,32061509300.6626,28.1353091475983,18589397211.3505,28.8051145441865,8906861871.66254,23.5267449766213,2229850639.27438,11.8962125509725,17235806960.2039,15.1994204694087,8185668946.43009,12.7780187956321,4530044262.85789,12.0704934401199,1722804197.39372,9.19949500961625
"Catalonia",3426606424.98634,2.97995611172514,1358330770.68596,2.32403810901053,1257579997.36739,2.92448288560433,300384853.855001,1.50657837798602,2548159476.51852,2.23611602176661,678873324.210631,1.0519450223453,198212054.952402,0.52356088321001,97619366.114526,0.520797540398268,2929860918.21216,2.583701947673,961446544.550333,1.50084032198951,225902918.860471,0.601927827188385,NA,NA
"Ceuta",15256170.1647058,0.0132675632638537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4749897.72879571,0.00418870395412004,NA,NA,NA,NA,NA,NA
"Extremadura",13850346229.1977,12.0449852642098,7686770063.19455,13.1516909927939,6188387387.0918,14.3909994123042,3582703139.75445,17.9690254545996,17575502550.279,15.4232351646116,11035009950.7684,17.0992486746173,7066407100.61552,18.665334677087,3902428183.94068,20.8193832911476,17495004276.6321,15.4279939853475,10741079646.203,16.7670740782182,7908910176.34653,21.0736237578973,4414364770.87258,23.5719919545723
"La Rioja",1157196896.66862,1.00635892688224,239145085.498401,0.409165649689429,72225682.999129,0.167959711727452,30103780.3637148,0.150985324358283,356361042.116818,0.312721649941469,211134659.539869,0.327162736002019,34287414.9439228,0.0905673938718769,NA,NA,415559861.983577,0.36646204538503,100000000.000001,0.156102315879815,NA,NA,NA,NA
"Madrid",4790726949.96325,4.1662666450543,2257171016.55607,3.8619102020204,1399543101.53173,3.25461589454609,315393033.31334,1.58185180930151,3778009512.82196,3.31536062787961,2785123265.18838,4.31567488506,1629736379.0073,4.30481495284153,946318072.666956,5.04858968353866,1979491023.04846,1.74561692668075,1160652089.06183,1.81180479033295,638543019.869408,1.70142472906116,344904096.029329,1.84173193623401
"Murcia",1351982676.44032,1.1757548255986,684728911.976602,1.17153797890576,484728911.950564,1.12722960775822,287124213.611296,1.44006971880089,1949838855.80867,1.7110647687145,489157332.407158,0.757971483955032,42807803.1486823,0.113073300361002,33532530.9373418,0.178895441863536,2981812891.54364,2.62951586800199,1917580336.03282,2.99338731340315,910752782.786439,2.42673908957776,501119748.677617,2.67589818631393
"Navarra",4071653307.41095,3.54092260779367,2606603781.76258,4.45977272593771,1839141516.38419,4.27689522744426,1428064030.29589,7.16244631782237,2280518508.05815,2.0012499299186,308392379.218382,0.477867986085941,175692082.425593,0.464076223163311,100000000.074845,0.533498179220978,1640957477.4529,1.44708064611162,353039743.106674,0.551103214965662,153039743.006882,0.407780831014843,NA,NA
"Valencian Community",1966933269.48642,1.71054801480008,718004693.759828,1.22847122862688,279632112.957339,0.650280165334251,268911744.512343,1.34872519259696,2416275540.75106,2.1203823777381,1116513581.24817,1.73008846023023,627419503.690186,1.65727714983886,378853353.726306,2.02117574253471,2866650872.6116,2.52796008057089,1112485460.27454,1.73661556731475,549249684.378845,1.46349888159819,275868966.805692,1.47309554230031
"Asturias",NA,NA,NA,NA,NA,NA,NA,NA,397559056.60921,0.348874622751976,197278098.914732,0.305691366518784,97186036.0585747,0.256708941778168,97186036.0585747,0.51848573244148,1001205331.85576,0.882914321924479,302566856.382993,0.472313869898601,97186036.0585747,0.258956280037806,97186036.0585747,0.518957670916864
"Galicia",NA,NA,NA,NA,NA,NA,NA,NA,1183313285.83321,1.03840667022777,345326069.193455,0.535098414710159,299447989.076334,0.790967298502179,198985389.684077,1.06158343008578,4751109489.03635,4.1897725465827,2366757698.22266,3.69456357818934,346413898.96084,0.923034401508312,NA,NA
"Melilla",NA,NA,NA,NA,NA,NA,NA,NA,13279506.3787863,0.0116533196797112,13279506.3787863,0.0205771977424654,13279506.3787863,0.0350767267406611,NA,NA,13279506.3787863,0.0117105512694244,13279506.3787863,0.020729616994693,13279506.3787863,0.0353838031887238,NA,NA
